FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201401,28,0,21629,496444,"I","01/28/2014 00:00:00",,"F","Vehicle/Towed Trailer",201401
201402,12,0,21739,501815,"I","02/12/2014 00:00:00",50,"M","Outside/Open Areas",201402
201401,16,0,21668,498453,"I","01/16/2014 00:00:00",,"","Vehicle/Towed Trailer",201401
201401,16,0,21669,498453,"I","01/16/2014 00:00:00",,"","Vehicle/Towed Trailer",201401
201401,16,0,21670,498453,"I","01/16/2014 00:00:00",,"","Vehicle/Towed Trailer",201401
201402,11,0,21798,504072,"I","02/11/2014 00:00:00",52,"M","Vehicle/Towed Trailer",201402
201402,11,0,21799,504072,"I","02/11/2014 00:00:00",45,"M","Vehicle/Towed Trailer",201402
201402,11,0,21800,504072,"I","02/11/2014 00:00:00",43,"M","Vehicle/Towed Trailer",201402
201402,4,0,21911,505476,"D","02/04/2014 00:00:00",73,"M","Permanent Home",201402
201402,4,0,21912,505476,"D","02/04/2014 00:00:00",96,"F","Permanent Home",201402
201402,27,0,21917,505479,"D","02/27/2014 00:00:00",64,"F","Permanent Home",201402
201407,17,0,22317,508314,"D","07/17/2014 00:00:00",14,"M","In Water",201307
