"","EVENT_ID","STATE","MONTH_NAME","EVENT_TYPE","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"39451",389907,"ARKANSAS","August","Heat",0,0,1,0,"",""
"39455",408732,"PENNSYLVANIA","August","Lightning",7,0,1,0,"0.00K","0.00K"
"39502",404572,"WISCONSIN","July","Excessive Heat",0,0,2,0,"",""
"39560",404573,"WISCONSIN","July","Excessive Heat",0,0,0,1,"",""
"40006",410089,"LOUISIANA","August","Storm Surge/Tide",0,0,2,0,"49.80M","0.00K"
"40016",410101,"LOUISIANA","August","Storm Surge/Tide",0,0,1,0,"42.80M","0.00K"
"40056",408887,"TEXAS","August","Thunderstorm Wind",0,0,0,1,"0.00K","0.00K"
"40087",407265,"TEXAS","August","Flash Flood",0,0,1,0,"30.00K","0.00K"
"40296",404584,"WISCONSIN","July","Heat",0,0,0,1,"",""
"40378",410167,"MISSISSIPPI","August","Tropical Storm",1,0,1,0,"300.00K","0.00K"
"40471",409668,"NEW JERSEY","August","Lightning",0,0,1,0,"0.00K","0.00K"
"40480",388239,"ARKANSAS","August","Lightning",0,0,0,1,"50.00K","0.00K"
"40595",390876,"MICHIGAN","August","Rip Current",0,0,1,0,"0.00K","0.00K"
"40642",406183,"MICHIGAN","August","Rip Current",0,0,1,0,"0.00K","0.00K"
"40930",402885,"ARKANSAS","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"40978",402886,"ARKANSAS","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"41073",426371,"TEXAS","December","Cold/Wind Chill",0,0,2,0,"0.00K","0.00K"
"41245",421669,"FLORIDA","November","High Surf",3,0,1,0,"0.00K","0.00K"
"41294",424865,"MONTANA","December","Winter Weather",0,0,0,1,"0.00K","0.00K"
"41295",424964,"WASHINGTON","December","Heavy Snow",0,0,0,1,"",""
"41309",413112,"NEW JERSEY","October","High Wind",0,0,3,1,"900.00K","0.00K"
"41345",391756,"KENTUCKY","August","Thunderstorm Wind",0,0,1,0,"15.00K","0.00K"
"41412",407002,"MINNESOTA","August","Lightning",4,0,1,0,"0.00K","0.00K"
"41494",423421,"WASHINGTON","December","Winter Weather",0,10,0,2,"5.60M","0.00K"
